28.05.2024;PPA-240528.PSV;2.0.11;2.1.4
TradingDate;SiteCarParkNumber;CellComputerNo;PaymentNumber;DeviceNumber;TranDateTime;Cancelled;Price;Turnover;PaymentType;PaymentMethod;Discounted;NetPrice;NetTurnover;PaymentReason;ShiftID;Quantity;PaymentCount;ReceiptNo;Cashier;FirstPaymntNo;TicketEPAN;VATAmount;TariffKey
28.05.2024;1068;1029;"141";201;26.05.2024 14:31:58;"N";0;0;0;0;"N";0;0;2;154;1;1;12;00799;"141";"024009010290200026000080";0;0
28.05.2024;1068;1029;"142";201;26.05.2024 14:35:46;"N";0;0;0;0;"N";0;0;2;149;1;1;41;18000;"142";"024009010290200026000070";0;0
28.05.2024;1068;1029;"143";201;26.05.2024 15:40:28;"N";0;0;0;0;"N";0;0;2;149;1;1;28;18000;"143";"024009010290200027000020";0;0
28.05.2024;1068;1029;"144";201;26.05.2024 16:36:18;"N";0;0;0;0;"N";0;0;2;149;1;1;26;18000;"144";"024009010290200027000010";0;0
28.05.2024;1068;1029;"145";201;26.05.2024 18:00:11;"N";0;0;0;0;"N";0;0;2;154;1;1;3;00799;"145";"024009010290200027000030";0;0
28.05.2024;1068;1029;"146";201;26.05.2024 18:36:03;"N";330;0;0;0;"Y";263;0;12;149;1;1;30;18000;"146";"024009010290200027000060";0;0
28.05.2024;1068;1029;"147";201;27.05.2024 08:00:32;"N";400;0;0;0;"Y";319;0;12;149;1;1;32;18000;"147";"024009010290200027000070";0;0
28.05.2024;1068;1029;"148";201;27.05.2024 08:02:05;"N";390;0;0;0;"Y";311;0;12;149;1;1;34;18000;"148";"024009010290200027000080";0;0
28.05.2024;1068;1029;"149";201;27.05.2024 12:30:48;"N";0;0;0;0;"N";0;0;2;154;1;1;9;00799;"149";"024009010290200007000010";0;0
28.05.2024;1068;1029;"150";201;27.05.2024 14:36:40;"N";0;0;0;0;"N";0;0;2;149;1;1;45;18000;"150";"024009010290200026000030";0;0
28.05.2024;1068;1029;"151";201;28.05.2024 13:48:37;"N";0;0;0;0;"N";0;0;2;149;1;1;55;18000;"151";"024009010290200004000060";0;0
28.05.2024;1068;1029;"152";201;28.05.2024 14:29:53;"N";0;0;0;0;"N";0;0;2;154;1;1;7;00799;"152";"024009010290200011000020";0;0
28.05.2024;1068;1029;"153";201;28.05.2024 14:33:12;"N";0;0;0;0;"N";0;0;2;154;1;1;14;00799;"153";"024009010290200005000010";0;0
28.05.2024;1068;1029;"154";201;28.05.2024 14:33:47;"N";0;0;0;0;"N";0;0;2;154;1;1;16;00799;"154";"024009010290200003000030";0;0
28.05.2024;1068;1029;"155";201;28.05.2024 14:34:32;"N";0;0;0;0;"N";0;0;2;154;1;1;18;00799;"155";"024009010290200003000050";0;0
28.05.2024;1068;1029;"156";201;28.05.2024 14:34:57;"N";0;0;0;0;"N";0;0;2;149;1;1;37;18000;"156";"024009010290200027000040";0;0
28.05.2024;1068;1029;"157";201;28.05.2024 14:35:19;"N";0;0;0;0;"N";0;0;2;149;1;1;39;18000;"157";"024009010290200027000050";0;0
28.05.2024;1068;1029;"158";201;28.05.2024 14:36:28;"N";0;0;0;0;"N";0;0;2;149;1;1;43;18000;"158";"024009010290200026000050";0;0
28.05.2024;1068;1029;"159";201;28.05.2024 14:37:04;"N";0;0;0;0;"N";0;0;2;154;1;1;20;00799;"159";"024009010290200026000020";0;0
28.05.2024;1068;1029;"160";201;28.05.2024 14:38:09;"N";0;0;0;0;"N";0;0;2;154;1;1;23;00799;"160";"024009010290200004000050";0;0
28.05.2024;1068;1029;"161";201;28.05.2024 14:47:41;"N";0;0;0;0;"N";0;0;2;149;1;1;52;18000;"161";"024009010290200026000040";0;0
