04.06.2024;CAP-240604.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
04.06.2024;1016;1045;422718;;04.06.2024 09:34:08;831;1;4;104;1;4000;4000;02494471016018314156344480;543;0000100032;
04.06.2024;1016;1045;422719;;04.06.2024 09:42:04;836;1;4;104;1;4000;4000;02494471016018364156349240;572;0000100198;
04.06.2024;1016;1045;422720;;04.06.2024 09:45:43;802;1;4;104;1;3000;3000;02494471016018024156351430;582;0000100163;
04.06.2024;1016;1045;422721;;04.06.2024 09:48:05;836;1;4;104;1;4000;4000;02494471016018364156352850;572;0000100198;
04.06.2024;1016;1045;422722;;04.06.2024 10:02:28;805;1;4;104;1;8000;8000;02494471016018054156361480;577;0000100078;
04.06.2024;1016;1045;422723;;04.06.2024 10:04:30;814;1;4;104;1;5000;5000;02494471016018144156362700;403;0000100113;
04.06.2024;1016;1045;422724;;04.06.2024 10:06:26;805;1;4;104;1;4500;4500;02494471016018054156363860;577;0000100078;
04.06.2024;1016;1045;422725;;04.06.2024 10:08:02;816;1;4;104;1;3000;3000;02494471016018164156364820;582;0000100093;
04.06.2024;1016;1045;422726;;04.06.2024 10:11:19;830;1;4;104;1;3000;3000;02494471016018304156366790;575;0000100108;
04.06.2024;1016;1045;422727;;04.06.2024 10:11:22;804;1;4;104;1;3000;3000;02494471016018044156366820;580;0000100241;
04.06.2024;1016;1045;422728;;04.06.2024 10:34:10;806;1;4;104;1;3000;3000;02494471016018064156380500;577;0000100083;
04.06.2024;1016;1045;422729;;04.06.2024 10:37:13;802;1;4;104;1;3000;3000;02494471016018024156382330;582;0000100163;
04.06.2024;1016;1045;422730;;04.06.2024 10:49:57;830;1;4;104;1;3000;3000;02494471016018304156389970;575;0000100108;
04.06.2024;1016;1045;422731;;04.06.2024 10:52:54;805;1;4;104;1;3000;3000;02494471016018054156391740;577;0000100078;
04.06.2024;1016;1045;422732;;04.06.2024 11:26:12;803;1;4;104;1;4500;4500;02494471016018034156411720;577;0000100069;
04.06.2024;1016;1045;422733;;04.06.2024 11:30:48;803;1;4;104;1;4500;4500;02494471016018034156414480;577;0000100069;
04.06.2024;1016;1045;422734;;04.06.2024 11:33:32;803;1;4;104;1;3000;3000;02494471016018034156416120;577;0000100069;
04.06.2024;1016;1045;422735;;04.06.2024 11:42:11;803;1;4;104;1;3000;3000;02494471016018034156421310;577;0000100069;
04.06.2024;1016;1045;422736;;04.06.2024 11:53:39;828;1;4;104;1;3000;3000;02494471016018284156428190;566;0000100044;
04.06.2024;1016;1045;422737;;04.06.2024 11:55:05;805;1;4;104;1;3000;3000;02494471016018054156429050;577;0000100078;
04.06.2024;1016;1045;422738;;04.06.2024 12:03:30;810;1;4;104;1;3000;3000;02494471016018104156434100;452;0000100119;
04.06.2024;1016;1045;422739;;04.06.2024 12:04:39;823;1;4;104;1;4000;4000;02494471016018234156434790;581;0000100096;
