04.06.2024;EET-240604.PSV;2.0.11;2.1.4
TradingDate;CellComputerNo;SiteCarParkNumber;DateTime;TicketType;Entries;Exits
05.06.2024;1029;1067;04.06.2024 00:00:00;3;0;0
04.06.2024;1029;1068;04.06.2024 01:00:00;2;0;7
04.06.2024;1029;1068;04.06.2024 02:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 03:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 04:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 05:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 06:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 07:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 08:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 09:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 10:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 11:00:00;2;5;7
04.06.2024;1029;1068;04.06.2024 12:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 13:00:00;2;0;0
05.06.2024;1029;1068;04.06.2024 14:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 15:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 16:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 17:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 18:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 19:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 20:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 21:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 22:00:00;2;0;0
04.06.2024;1029;1068;04.06.2024 23:00:00;2;0;0
