04.06.2024;EVT-240604.PSV;2.0.11;2.1.4
TradingDate;CellComputerNo;SiteCarParkNumber;Device;EventDate;EventNumber;EventDesc
04.06.2024;1029;1068;201;04.06.2024 11:03:11;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:02:11;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:02:23;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:02:23;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:03:12;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:03:25;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:03:26;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:03:48;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:03:49;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:04:38;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:04:39;35775;"Exit transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:08:31;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:08:31;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:09:26;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:09:27;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:09:45;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:09:45;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:10:02;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:10:02;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:00:33;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:00:34;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:00:47;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:00:47;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:01:14;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:01:15;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:01:26;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:01:27;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:01:44;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:01:44;35774;"Entry transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:02:10;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:10:32;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:10:33;35774;"Entry transaction created"
04.06.2024;1029;1068;101;04.06.2024 11:10:56;35770;"Data received by front camera"
04.06.2024;1029;1068;101;04.06.2024 11:10:56;35774;"Entry transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:11:38;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:11:38;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:11:57;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:11:57;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:12:24;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:12:24;35767;"Exit without entry"
04.06.2024;1029;1068;201;04.06.2024 11:12:24;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:12:43;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:12:43;35767;"Exit without entry"
04.06.2024;1029;1068;201;04.06.2024 11:12:43;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:13:04;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:13:05;35767;"Exit without entry"
04.06.2024;1029;1068;201;04.06.2024 11:13:05;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:13:38;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:13:39;35767;"Exit without entry"
04.06.2024;1029;1068;201;04.06.2024 11:13:39;35775;"Exit transaction created"
04.06.2024;1029;1068;201;04.06.2024 11:16:23;35770;"Data received by front camera"
04.06.2024;1029;1068;201;04.06.2024 11:16:23;35775;"Exit transaction created"
