04.06.2024;GEO-240604.PSV;2.0.11;2.1.4
TradingDate;Type;ID;Description;SiteID;SiteDescription
04.06.2024;"CarPark";1068;"P-Jännä";1029;"SCHEIDT & BACHMANN GmbH"
04.06.2024;"CarPark";1070;"P-Demo";1029;"SCHEIDT & BACHMANN GmbH"
04.06.2024;"Cards";1;"Pysäköintilipuke";0;" "
04.06.2024;"Cards";2;"Kausilipuke";0;" "
04.06.2024;"Cards";3;"Kongressikortti";0;" "
04.06.2024;"Cards";4;"Parkkishekki";0;" "
04.06.2024;"Cards";5;"Kongressishekki";0;" "
04.06.2024;"Cards";6;"Arvokortti";0;" "
04.06.2024;"Cards";7;"Tapahtumakortti";0;" "
04.06.2024;"Cards";8;"Henkilökuntakortti";0;" "
04.06.2024;"Cards";9;"CashBack lipuke";0;" "
04.06.2024;"Cards";90;"Huoltokortti";0;" "
04.06.2024;"Cards";101;"Sogeparc arvokortti";0;" "
04.06.2024;"Cards";103;"Interparking cheque";0;" "
04.06.2024;"Cards";256;"Diners Club International";0;" "
04.06.2024;"Cards";257;"Visa";0;" "
04.06.2024;"Cards";258;"American Express";0;" "
04.06.2024;"Cards";259;"Mastercard";0;" "
04.06.2024;"Cards";260;"Multitank NL";0;" "
04.06.2024;"Cards";261;"Travelcard";0;" "
04.06.2024;"Cards";263;"JCB";0;" "
04.06.2024;"Cards";266;"Novus Discover";0;" "
04.06.2024;"Cards";270;"VisaElectron";0;" "
04.06.2024;"Cards";274;"NCP MSA";0;" "
04.06.2024;"Cards";278;"NCP Gateway";0;" "
04.06.2024;"Cards";290;"DKV";0;" "
04.06.2024;"Cards";292;"UTA";0;" "
04.06.2024;"Cards";301;"Servipark";0;" "
04.06.2024;"Cards";314;"Stockmann";0;" "
04.06.2024;"Cards";328;"Servipark";0;" "
04.06.2024;"Cards";414;"Holmesplace";0;" "
04.06.2024;"Cards";432;"Arezzo";0;" "
04.06.2024;"Cards";434;"SabaReg";0;" "
04.06.2024;"Cards";450;"IslandCard";0;" "
04.06.2024;"Cards";465;"PayPal";0;" "
04.06.2024;"Cards";466;"License Plate";0;" "
04.06.2024;"Cards";495;"Bancontact/MCA";0;" "
04.06.2024;"Cards";496;"Proton";0;" "
04.06.2024;"Cards";497;"Aurora";0;" "
04.06.2024;"Cards";501;"NOVO";0;" "
04.06.2024;"Cards";515;"ec veloituskortti";0;" "
04.06.2024;"Cards";516;"Keba kortti";0;" "
04.06.2024;"Cards";517;"ec huoltokortti";0;" "
04.06.2024;"Cards";518;"ec-Geldkarte";0;" "
04.06.2024;"Cards";521;"PostCardCH";0;" "
04.06.2024;"Cards";525;"ec - Austria";0;" "
04.06.2024;"Cards";540;"KIS";0;" "
04.06.2024;"Cards";549;"Unknown";0;" "
04.06.2024;"Cards";550;"Credit Others";0;" "
04.06.2024;"Cards";564;"Visa";0;" "
04.06.2024;"Cards";565;"Mastercard";0;" "
04.06.2024;"Cards";566;"Amex";0;" "
04.06.2024;"Cards";567;"Diners";0;" "
04.06.2024;"Cards";568;"JCB";0;" "
04.06.2024;"Cards";569;"Maestro";0;" "
04.06.2024;"Cards";576;"VPay";0;" "
04.06.2024;"Cards";577;"ChinaUnionPay";0;" "
04.06.2024;"Cards";583;"Eurotraffic";0;" "
04.06.2024;"Cards";584;"WhiteLabel";0;" "
04.06.2024;"Cards";585;"Stockmann_Exclusive";0;" "
04.06.2024;"Cards";586;"Stockmann_Combi";0;" "
04.06.2024;"Cards";588;"External Credit";0;" "
04.06.2024;"Cards";589;"ExternalCredit2";0;" "
04.06.2024;"Cards";592;"HomePrinted Ticket";0;" "
04.06.2024;"Cards";608;"Visa Electron";0;" "
04.06.2024;"Cards";610;"PagoBancomat";0;" "
04.06.2024;"Cards";657;"CL_Surcharge";0;" "
04.06.2024;"Cards";716;"TWINT CH";0;" "
04.06.2024;"Cards";814;"SofortUBWOgone";0;" "
04.06.2024;"Cards";815;"Web SFRTUWOGONE";0;" "
04.06.2024;"Cards";816;"Ideal";0;" "
04.06.2024;"Cards";817;"Web Ideal";0;" "
04.06.2024;"Cards";828;"Employee";0;" "
04.06.2024;"Cards";829;"Valet";0;" "
04.06.2024;"Cards";886;"SabaCredit";0;" "
04.06.2024;"Cards";901;"AUTHUI";0;" "
04.06.2024;"Cards";902;"BCAA";0;" "
04.06.2024;"Cards";903;"AEROPLAN";0;" "
04.06.2024;"Cards";904;"Interac";0;" "
04.06.2024;"Cards";905;"Troika";0;" "
04.06.2024;"Cards";906;"ParkingCard";0;" "
04.06.2024;"Cards";909;"BankAxept ";0;" "
04.06.2024;"Cards";910;"Breuninger Platin";0;" "
04.06.2024;"Cards";911;"Saflok";0;" "
04.06.2024;"Cards";912;"Evopark";0;" "
04.06.2024;"Cards";913;"QPark";0;" "
04.06.2024;"Cards";914;"OA";0;" "
04.06.2024;"Cards";916;"CCV";0;" "
04.06.2024;"Cards";917;"PolyGo";0;" "
04.06.2024;"Cards";918;"Calypso";0;" "
04.06.2024;"Cards";919;"Advantage Parker";0;" "
04.06.2024;"Cards";920;"Australian Motorpass";0;" "
04.06.2024;"Cards";921;"Caltex EMV card";0;" "
04.06.2024;"Cards";997;"CashlessExtern";0;" "
04.06.2024;"CellComputer";1029;"Parktech Demo Core (ZR)";1029;"P-Demo"
04.06.2024;"Device";101;"Sisään";1068;"P-Jännä"
04.06.2024;"Device";110;"Demo SA";1070;"P-Demo"
04.06.2024;"Device";201;"Ulos";1068;"P-Jännä"
04.06.2024;"Device";210;"Demo UA";1070;"P-Demo"
04.06.2024;"Device";601;"Demo MA";1070;"P-Demo"
04.06.2024;"Device";701;"integ. POS";1070;"P-Demo"
04.06.2024;"Device";750;"App 750";1070;"P-Demo"
04.06.2024;"Device";799;"vPOS 799";1070;"P-Demo"
