05.06.2024;KPI-240605.PSV;2.0.11;2.1.4
TradingDate;TranDate;SiteCarParkNumber;DeviceNumber;CreditCardCompany;KPIFileType;KPISubType;PaymentMethod;QntTransactions;TotalTurnover
04.06.2024;04.06.2024;0;0;"";4;1;0;52;0
04.06.2024;04.06.2024;0;0;"";6;1;0;24;0
04.06.2024;04.06.2024;0;0;"";7;1;0;192;0
04.06.2024;04.06.2024;0;0;"";8;1;0;13;0
04.06.2024;04.06.2024;1067;201;"";8;2;0;13;0
04.06.2024;04.06.2024;0;0;"";9;1;0;7;500
04.06.2024;04.06.2024;1068;201;"";9;3;2;7;500
04.06.2024;04.06.2024;0;0;"";13;1;0;24;0
04.06.2024;04.06.2024;1068;101;"";13;2;0;11;0
04.06.2024;04.06.2024;1068;201;"";13;2;0;13;0
04.06.2024;04.06.2024;0;0;"";14;1;0;6;0
04.06.2024;04.06.2024;1068;201;"";14;2;0;6;0
04.06.2024;04.06.2024;0;0;"";15;1;0;13;500
04.06.2024;04.06.2024;0;0;"";16;1;0;2;0
05.06.2024;04.06.2024;1029;0;"";18;1;0;11;0
