04.06.2024;PPA-240604.PSV;2.0.11;2.1.4
TradingDate;SiteCarParkNumber;CellComputerNo;PaymentNumber;DeviceNumber;TranDateTime;Cancelled;Price;Turnover;PaymentType;PaymentMethod;Discounted;NetPrice;NetTurnover;PaymentReason;ShiftID;Quantity;PaymentCount;ReceiptNo;Cashier;FirstPaymntNo;TicketEPAN;VATAmount;TariffKey
04.06.2024;1068;1029;"201";201;03.06.2024 15:30:01;"N";50;0;0;0;"Y";40;0;12;165;1;1;5;00201;"201";"024009010290200027000070";0;0
04.06.2024;1068;1029;"202";201;03.06.2024 15:40:01;"N";500;0;0;0;"Y";398;0;12;165;1;1;6;00201;"202";"024009010290200027000040";0;0
04.06.2024;1068;1029;"203";201;04.06.2024 11:03:11;"N";50;0;0;0;"Y";40;0;12;165;1;1;1;00201;"203";"024009010290200027000060";0;0
04.06.2024;1068;1029;"204";201;04.06.2024 11:03:25;"N";500;500;0;0;"N";398;398;2;165;1;1;2;00201;"204";"024009010290200027000030";102;0
04.06.2024;1068;1029;"205";201;04.06.2024 11:03:48;"N";500;0;0;0;"Y";398;0;12;165;1;1;3;00201;"205";"024009010290200027000050";0;0
04.06.2024;1068;1029;"206";201;04.06.2024 11:04:38;"N";50;0;0;0;"Y";40;0;12;165;1;1;4;00201;"206";"024009010290200027000080";0;0
04.06.2024;1068;1029;"207";201;04.06.2024 11:10:01;"N";50;0;0;0;"Y";40;0;12;165;1;1;7;00201;"207";"024009010290200027000070";0;0
04.06.2024;1068;1029;"201";201;03.06.2024 15:30:01;"N";50;0;0;0;"Y";40;0;12;165;1;1;5;00201;"201";"024009010290200026000070";0;0
04.06.2024;1068;1029;"202";201;03.06.2024 15:40:01;"N";500;0;0;0;"Y";398;0;12;165;1;1;6;00201;"202";"024009010290200026000040";0;0
04.06.2024;1068;1029;"203";201;04.06.2024 11:03:11;"N";50;0;0;0;"Y";40;0;12;165;1;1;1;00201;"203";"024009010290200026000060";0;0
04.06.2024;1068;1029;"204";201;04.06.2024 11:03:25;"N";500;500;0;0;"N";398;398;2;165;1;1;2;00201;"204";"024009010290200026000030";102;0
04.06.2024;1068;1029;"205";201;04.06.2024 11:03:48;"N";500;0;0;0;"Y";398;0;12;165;1;1;3;00201;"205";"024009010290200026000050";0;0
04.06.2024;1068;1029;"206";201;04.06.2024 11:04:38;"N";50;0;0;0;"Y";40;0;12;165;1;1;4;00201;"206";"024009010290200026000080";0;0
04.06.2024;1068;1029;"207";201;04.06.2024 11:10:01;"N";50;0;0;0;"Y";40;0;12;165;1;1;7;00201;"207";"024009010290200026000070";0;0

04.06.2024;1068;1029;"207";201;04.06.2024 11:10:01;"N";50;0;0;0;"Y";40;0;12;165;1;1;7;00201;"207";"024009010290200011000010";0;0
04.06.2024;1068;1029;"201";201;03.06.2024 15:30:01;"N";30;0;0;0;"Y";40;0;12;165;1;1;5;00201;"201";"024009010290200011000040";0;0
04.06.2024;1068;1029;"202";201;03.06.2024 15:40:01;"N";500;0;0;0;"Y";398;0;12;165;1;1;6;00201;"202";"0240090102902011000020";0;0
04.06.2024;1068;1029;"203";201;04.06.2024 11:03:11;"N";16;0;0;0;"Y";40;0;12;165;1;1;1;00201;"203";"024009010290200011000030";0;0
04.06.2024;1068;1029;"204";201;04.06.2024 11:03:25;"N";500;500;0;0;"N";398;398;2;165;1;1;2;00201;"204";"024009010290200011000030";102;0
04.06.2024;1068;1029;"205";201;04.06.2024 11:03:48;"N";800;0;0;0;"Y";398;0;12;165;1;1;3;00201;"205";"024009010290200011000050";0;0
04.06.2024;1068;1029;"206";201;04.06.2024 11:04:38;"N";120;0;0;0;"Y";10;0;12;165;1;1;4;00201;"206";"024009010290200011000030";0;0
04.06.2024;1068;1029;"207";201;04.06.2024 11:10:01;"N";70;0;0;0;"Y";40;0;12;165;1;1;7;00201;"207";"024009010290200011000020";0;0
