04.06.2024;STR-240604.PSV;2.0.11;2.1.4
TradingDate;CellComputerNo;SiteCarParkNumber;TransDateTime;TransActionType;DeviceNumber;TicketType;TicketSubType;TicketEPAN;LicensePlate;ParkingNumber;ReservationID;ForeignReservationID;LPNOrg;LPNCountry
04.06.2024;1029;1068;01.06.2024 12:00:01;2;101;2;0;"024009010290200027000010";"SOF0010";"261";;"";"SOF0010";"FIN"
04.06.2024;1029;1068;01.06.2024 12:15:01;2;101;2;0;"024009010290200027000020";"SOF0020";"262";;"";"SOF0020";"FIN"
04.06.2024;1029;1068;01.06.2024 12:16:01;2;101;2;0;"024009010290200027000030";"SOF0030";"263";;"";"SOF0030";"FIN"
04.06.2024;1029;1068;01.06.2024 12:18:01;2;101;2;0;"024009010290200027000050";"SOF0050";"264";;"";"SOF0050";"FIN"
04.06.2024;1029;1068;01.06.2024 13:30:01;2;101;2;0;"024009010290200027000080";"SOF0080";"265";;"";"SOF0080";"FIN"
04.06.2024;1029;1068;01.06.2024 15:30:01;2;101;2;0;"024009010290200027000060";"SOF0060";"266";;"";"SOF0060";"FIN"
04.06.2024;1029;1068;04.06.2024 11:00:33;2;101;2;0;"024009010290200027000020";"SOF0020";"267";;"";"SOF0020";"FIN"
04.06.2024;1029;1068;04.06.2024 11:00:47;2;101;2;0;"024009010290200027000010";"SOF0010";"268";;"";"SOF0010";"FIN"
04.06.2024;1029;1068;04.06.2024 11:01:14;2;101;2;0;"024009010290200027000060";"SOF0060";"269";;"";"SOF0060";"FIN"
04.06.2024;1029;1068;04.06.2024 11:01:26;2;101;2;0;"024009010290200027000070";"SOF0070";"270";;"";"SOF0070";"FIN"
04.06.2024;1029;1068;04.06.2024 11:01:44;2;101;2;0;"024009010290200027000080";"SOF0080";"271";;"";"SOF0080";"FIN"
04.06.2024;1029;1068;03.06.2024 15:30:01;12;201;2;0;"024009010290200027000070";"SOF0070";"I1";;"";"SOF0070";"FIN"
04.06.2024;1029;1068;03.06.2024 15:40:01;12;201;2;0;"024009010290200027000040";"SOF0040";"244";;"";"";"FIN"
04.06.2024;1029;1068;03.06.2024 16:50:01;12;201;2;0;"024009010290200027000010";"SOF0010";"261";;"";"SOF0010";"FIN"
04.06.2024;1029;1068;03.06.2024 17:50:01;12;201;2;0;"024009010290200027000020";"SOF0020";"262";;"";"SOF0020";"FIN"
04.06.2024;1029;1068;03.06.2024 18:30:01;12;201;2;0;"024009010290200027000030";"SOF0030";"263";;"";"SOF0030";"FIN"
04.06.2024;1029;1068;03.06.2024 19:40:01;12;201;2;0;"024009010290200027000080";"SOF0080";"265";;"";"SOF0080";"FIN"
04.06.2024;1029;1068;04.06.2024 11:02:10;12;201;2;0;"024009010290200027000010";"SOF0010";"268";;"";"SOF0010";"FIN"
04.06.2024;1029;1068;04.06.2024 11:02:23;12;201;2;0;"024009010290200027000020";"SOF0020";"267";;"";"SOF0020";"FIN"
04.06.2024;1029;1068;04.06.2024 11:03:11;12;201;2;0;"024009010290200027000060";"SOF0060";"269";;"";"SOF0060";"FIN"
04.06.2024;1029;1068;04.06.2024 11:03:25;12;201;2;0;"024009010290200027000030";"SOF0030";"263";;"";"SOF0030";"FIN"
04.06.2024;1029;1068;04.06.2024 11:03:48;12;201;2;0;"024009010290200027000050";"SOF0050";"264";;"";"SOF0050";"FIN"
04.06.2024;1029;1068;04.06.2024 11:04:38;12;201;2;0;"024009010290200027000080";"SOF0080";"271";;"";"SOF0080";"FIN"
04.06.2024;1029;1068;04.06.2024 11:10:01;12;201;2;0;"024009010290200027000070";"SOF0070";"270";;"";"SOF0070";"FIN"
