04.06.2024;TRA-240604.PSV;2.0.11;2.1.4
TradingDate;CellComputerNo;CellComputerName;FromSiteCarParkNo;FromSiteCarParkName;ToSiteCarparkNo;ToSiteCarParkName;OwnerName;ParkingNumber;PaymentNumber;TransactionStatus;EntryDeviceNumber;EntryDateTime;ExitDeviceNo;ExitDateTime;StayDuration;ExitGraceTime;LastSiteCarParkNo;LastSiteCarParkName;NestedAreaEntrydevice;NestedAreaEntryDateTime;NestedAreaExitDevice;NestedAreaExitDateTime;NestedAreaFacilityNumber;NestedAreaFacilityName;StayDurationNestedArea;NestedAreaCounting;Price;Turnover;NetPrice;DiscountAmount ;PaymentMethod;PrePaidPrice;ReceiptNo;CountOfPayments;LastPayDateTime;TicketType;TicketSubType;TicketEPAN;LPNEntry;LPNExit;LPNCountry;LPNRegion;ReservationID;ForeignReservationID;InvoiceReference;RecordUpdateDate;RecordID
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;264;205;3;101;01.06.2024 12:18:01;201;04.06.2024 11:03:48;4246;0;1068;P-Jännä;;;;;;;;0;500;0;398;-500;0;0;3;1;04.06.2024 11:03:48;2;0;024009010290200027000050????;SOF0050;;FIN;;;;0002700005;05.06.2024 01:32:42;3F35C0B498494696B771D922A7B8FBDA
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;263;;3;101;01.06.2024 12:16:01;201;04.06.2024 11:03:25;4247;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000030????;SOF0030;;FIN;;;;0002700003;05.06.2024 01:32:40;E4A70350D53E4D75B4908E5D186E53CA
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;265;;3;101;01.06.2024 13:30:01;201;03.06.2024 19:40:01;3250;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000080????;SOF0080;;FIN;;;;0002700008;05.06.2024 01:32:40;5F53E1880F8B434E8CC81DA638C28D9C
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;270;207;3;101;04.06.2024 11:01:26;201;04.06.2024 11:10:01;9;0;1068;P-Jännä;;;;;;;;0;50;0;40;-50;0;0;7;1;04.06.2024 11:10:01;2;0;024009010290200027000070????;SOF0070;;FIN;;;;0002700007;05.06.2024 01:32:42;0E08880C23BE43C78578F84D0B1759B9
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;271;206;3;101;04.06.2024 11:01:44;201;04.06.2024 11:04:38;3;0;1068;P-Jännä;;;;;;;;0;50;0;40;-50;0;0;4;1;04.06.2024 11:04:38;2;0;024009010290200027000080????;SOF0080;;FIN;;;;0002700008;05.06.2024 01:32:42;0CA641F331FB444C9048EB02ACA5637B
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;268;;3;101;04.06.2024 11:00:47;201;04.06.2024 11:02:10;1;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000010????;SOF0010;;FIN;;;;0002700001;05.06.2024 01:32:40;826BBA564C204B9B9C0A01CD696B01DA
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;262;;3;101;01.06.2024 12:15:01;201;03.06.2024 17:50:01;3215;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000020????;SOF0020;;FIN;;;;0002700002;05.06.2024 01:32:40;97C8882B14F54104B85A475E6DC640E3
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;261;;3;101;01.06.2024 12:00:01;201;03.06.2024 16:50:01;3170;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000010????;SOF0010;;FIN;;;;0002700001;05.06.2024 01:32:40;9D355CD1F072402990ADFF0615E80675
04.06.2024;1029;Parktech Demo Core;0;#Outside;1068;P-Jännä;SCHEIDT & BACHMANN GmbH;266;;1;101;01.06.2024 15:30:01;;;;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000060????;SOF0060;;FIN;;;;0002700006;05.06.2024 01:32:40;72D2315764424F318265A79CC77982B4
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;267;;3;101;04.06.2024 11:00:33;201;04.06.2024 11:02:23;2;;1068;P-Jännä;;;;;;;;0;0;0;0;0;0;0;0;0;;2;0;024009010290200027000020????;SOF0020;;FIN;;;;0002700002;05.06.2024 01:32:40;C54F8BE654C24E4FA3F1752DD023D597
04.06.2024;1029;Parktech Demo Core;0;#Outside;0;#Outside;SCHEIDT & BACHMANN GmbH;269;203;3;101;04.06.2024 11:01:14;201;04.06.2024 11:03:11;2;0;1068;P-Jännä;;;;;;;;0;50;0;40;-50;0;0;1;1;04.06.2024 11:03:11;2;0;024009010290200027000060????;SOF0060;;FIN;;;;0002700006;05.06.2024 01:32:42;54C0B2D3F3A4421AB82D12BC7A0B580B
