11.03.2024;CAP-240311.PSV;2.0.7
TradingDate;CellComputerNo;SiteCarParkNumber;ProductionNumber;PaymentNumber;ProductionDateTime;Device;TicketType;TicketSubType;ParkingArticle;Quantity;Amount;BookedValue;EPAN;ShiftID;Cashier;InvoiceReference
11.03.2024;1016;1045;251746;2380099;11.03.2024 00:03:52;822;1;4;104;1;3000;3000;02494471016018224071002320;141;0000100173;
11.03.2024;1016;1045;251747;2380272;11.03.2024 00:09:15;805;1;4;104;1;7500;7500;02494471016018054071005550;234;0000100236;
11.03.2024;1016;1045;251748;2380326;11.03.2024 00:10:56;802;1;4;104;1;3000;3000;02494471016018024071006560;239;0000100056;
11.03.2024;1016;1045;251749;2380534;11.03.2024 00:17:27;837;1;4;104;1;3000;3000;02494471016018374071010470;17;0000100160;
11.03.2024;1016;1045;251750;2380613;11.03.2024 00:20:15;837;1;4;104;1;3000;3000;02494471016018374071012150;17;0000100160;
11.03.2024;1016;1045;251751;2380755;11.03.2024 00:24:31;822;1;4;104;1;4500;4500;02494471016018224071014710;141;0000100173;
11.03.2024;1016;1045;251752;2381063;11.03.2024 00:33:46;802;1;4;104;1;4000;4000;02494471016018024071020260;239;0000100056;
11.03.2024;1016;1045;251753;2381384;11.03.2024 00:46:52;806;1;4;104;1;3000;3000;02494471016018064071028120;234;0000100049;
11.03.2024;1016;1045;251754;2381396;11.03.2024 00:47:18;806;1;4;104;1;3000;3000;02494471016018064071028380;234;0000100049;
11.03.2024;1016;1045;251755;2381453;11.03.2024 00:50:03;806;1;4;104;1;3000;3000;02494471016018064071030030;234;0000100049;
11.03.2024;1016;1045;251756;2381689;11.03.2024 01:00:57;822;1;4;104;1;3000;3000;02494471016018224071036570;141;0000100173;
11.03.2024;1016;1045;251757;2381699;11.03.2024 01:01:14;805;1;4;104;1;4000;4000;02494471016018054071036740;235;0000100236;
11.03.2024;1016;1045;251758;2381722;11.03.2024 01:02:21;821;1;4;104;1;3000;3000;02494471016018214071037410;231;0000100053;
11.03.2024;1016;1045;251759;2381731;11.03.2024 01:02:37;807;1;4;104;1;4000;4000;02494471016018074071037570;241;0000100199;
11.03.2024;1016;1045;251760;2381766;11.03.2024 01:03:56;803;1;4;104;1;4500;4500;02494471016018034071038360;234;0000100232;
11.03.2024;1016;1045;251761;2381970;11.03.2024 01:13:05;837;1;4;104;1;3000;3000;02494471016018374071043850;17;0000100160;
11.03.2024;1016;1045;251762;2382015;11.03.2024 01:15:16;805;1;4;104;1;6000;6000;02494471016018054071045160;235;0000100236;
11.03.2024;1016;1045;251763;2382313;11.03.2024 01:27:51;803;1;4;104;1;3000;3000;02494471016018034071052710;234;0000100232;
11.03.2024;1016;1045;251764;2382383;11.03.2024 01:30:45;806;1;4;104;1;3000;3000;02494471016018064071054450;234;0000100049;
11.03.2024;1016;1045;251765;2382576;11.03.2024 01:41:04;816;1;4;104;1;3000;3000;02494471016018164071060640;239;0000100231;
