13.06.2024;GEO-240613.PSV;2.0.7
TradingDate;Type;ID;Description;SiteID;SiteDescription
13.06.2024;"CarPark";1045;"CAC-Facility";1016;"SCHEIDT & BACHMANN GmbH"
13.06.2024;"CarPark";1046;"MSG-Nested";1016;"SCHEIDT & BACHMANN GmbH"
13.06.2024;"CarPark";1047;"LIMO-Nested";1016;"SCHEIDT & BACHMANN GmbH"
13.06.2024;"Cards";1;"Parking ticket";0;" "
13.06.2024;"Cards";2;"Season card";0;" "
13.06.2024;"Cards";3;"Congress card";0;" "
13.06.2024;"Cards";4;"Parking cheque";0;" "
13.06.2024;"Cards";5;"Congress cheque";0;" "
13.06.2024;"Cards";6;"Value card";0;" "
13.06.2024;"Cards";7;"Event card";0;" "
13.06.2024;"Cards";8;"Staff card";0;" "
13.06.2024;"Cards";9;"CashBack ticket";0;" "
13.06.2024;"Cards";90;"Service card";0;" "
13.06.2024;"Cards";101;"Sogeparc value card";0;" "
13.06.2024;"Cards";103;"Interparking cheque";0;" "
13.06.2024;"Cards";256;"Diners Club International";0;" "
13.06.2024;"Cards";257;"Visa";0;" "
13.06.2024;"Cards";258;"American Express";0;" "
13.06.2024;"Cards";259;"Mastercard";0;" "
13.06.2024;"Cards";260;"Multitank NL";0;" "
13.06.2024;"Cards";261;"Travelcard";0;" "
13.06.2024;"Cards";263;"JCB";0;" "
13.06.2024;"Cards";266;"Novus Discover";0;" "
13.06.2024;"Cards";270;"VisaElectron";0;" "
13.06.2024;"Cards";274;"NCP MSA";0;" "
13.06.2024;"Cards";278;"NCP Gateway";0;" "
13.06.2024;"Cards";290;"DKV";0;" "
13.06.2024;"Cards";292;"UTA";0;" "
13.06.2024;"Cards";301;"Servipark";0;" "
13.06.2024;"Cards";314;"Stockmann";0;" "
13.06.2024;"Cards";328;"Servipark";0;" "
13.06.2024;"Cards";414;"Holmesplace";0;" "
13.06.2024;"Cards";432;"Arezzo";0;" "
13.06.2024;"Cards";434;"SabaReg";0;" "
13.06.2024;"Cards";450;"IslandCard";0;" "
13.06.2024;"Cards";465;"PayPal";0;" "
13.06.2024;"Cards";466;"License Plate";0;" "
13.06.2024;"Cards";495;"Bancontact/MCA";0;" "
13.06.2024;"Cards";496;"Proton";0;" "
13.06.2024;"Cards";497;"Aurora";0;" "
13.06.2024;"Cards";501;"NOVO";0;" "
13.06.2024;"Cards";515;"ec debit entry";0;" "
13.06.2024;"Cards";516;"Keba card";0;" "
13.06.2024;"Cards";517;"ec service card";0;" "
13.06.2024;"Cards";518;"ec-Geldkarte";0;" "
13.06.2024;"Cards";521;"PostCardCH";0;" "
13.06.2024;"Cards";525;"ec - Austria";0;" "
13.06.2024;"Cards";540;"KIS";0;" "
13.06.2024;"Cards";549;"Unknown";0;" "
13.06.2024;"Cards";550;"Credit Others";0;" "
13.06.2024;"Cards";564;"Visa";0;" "
13.06.2024;"Cards";565;"Mastercard";0;" "
13.06.2024;"Cards";566;"Amex";0;" "
13.06.2024;"Cards";567;"Diners";0;" "
13.06.2024;"Cards";568;"JCB";0;" "
13.06.2024;"Cards";569;"Maestro";0;" "
13.06.2024;"Cards";576;"VPay";0;" "
13.06.2024;"Cards";577;"ChinaUnionPay";0;" "
13.06.2024;"Cards";583;"Eurotraffic";0;" "
13.06.2024;"Cards";584;"WhiteLabel";0;" "
13.06.2024;"Cards";585;"Stockmann_Exclusive";0;" "
13.06.2024;"Cards";586;"Stockmann_Combi";0;" "
13.06.2024;"Cards";588;"External Credit";0;" "
13.06.2024;"Cards";589;"ExternalCredit2";0;" "
13.06.2024;"Cards";592;"HomePrinted Ticket";0;" "
13.06.2024;"Cards";608;"Visa Electron";0;" "
13.06.2024;"Cards";610;"PagoBancomat";0;" "
13.06.2024;"Cards";657;"CL_Surcharge";0;" "
13.06.2024;"Cards";814;"SofortUBWOgone";0;" "
13.06.2024;"Cards";815;"Web SFRTUWOGONE";0;" "
13.06.2024;"Cards";816;"Ideal";0;" "
13.06.2024;"Cards";817;"Web Ideal";0;" "
13.06.2024;"Cards";828;"Employee";0;" "
13.06.2024;"Cards";829;"Valet";0;" "
13.06.2024;"Cards";886;"SabaCredit";0;" "
13.06.2024;"Cards";901;"AUTHUI";0;" "
13.06.2024;"Cards";902;"BCAA";0;" "
13.06.2024;"Cards";903;"AEROPLAN";0;" "
13.06.2024;"Cards";904;"Interac";0;" "
13.06.2024;"Cards";905;"Troika";0;" "
13.06.2024;"Cards";906;"ParkingCard";0;" "
13.06.2024;"Cards";909;"BankAxept ";0;" "
13.06.2024;"Cards";910;"Breuninger Platin";0;" "
13.06.2024;"Cards";911;"Saflok";0;" "
13.06.2024;"Cards";912;"Evopark";0;" "
13.06.2024;"Cards";913;"QPark";0;" "
13.06.2024;"Cards";914;"OA";0;" "
13.06.2024;"Cards";916;"CCV";0;" "
13.06.2024;"Cards";917;"PolyGo";0;" "
13.06.2024;"Cards";918;"Calypso";0;" "
13.06.2024;"Cards";919;"Advantage Parker";0;" "
13.06.2024;"Cards";920;"Australian Motorpass";0;" "
13.06.2024;"Cards";921;"Caltex EMV card";0;" "
13.06.2024;"Cards";997;"CashlessExtern";0;" "
13.06.2024;"CellComputer";1016;"CAC-AppSrvr (ZR)";1016;"LIMO-Nested"
13.06.2024;"CellComputer";1017;"LDS1017 (ZR)";1017;"SCHEIDT & BACHMANN GmbH"
13.06.2024;"Device";101;"Entry1";1045;"CAC-Facility"
13.06.2024;"Device";102;"Entry2";1045;"CAC-Facility"
13.06.2024;"Device";103;"Entry3";1045;"CAC-Facility"
13.06.2024;"Device";104;"Entry4";1045;"CAC-Facility"
13.06.2024;"Device";105;"Entry5";1045;"CAC-Facility"
13.06.2024;"Device";106;"Entry6";1045;"CAC-Facility"
13.06.2024;"Device";107;"Entry7";1045;"CAC-Facility"
13.06.2024;"Device";108;"Entry8";1045;"CAC-Facility"
13.06.2024;"Device";109;"Entry9";1045;"CAC-Facility"
13.06.2024;"Device";110;"Entry10";1045;"CAC-Facility"
13.06.2024;"Device";111;"Entry11";1045;"CAC-Facility"
13.06.2024;"Device";112;"Entry12";1045;"CAC-Facility"
13.06.2024;"Device";113;"Entry13";1045;"CAC-Facility"
13.06.2024;"Device";114;"Entry14";1045;"CAC-Facility"
13.06.2024;"Device";115;"Entry15";1045;"CAC-Facility"
13.06.2024;"Device";116;"Entry16";1045;"CAC-Facility"
13.06.2024;"Device";117;"Entry17";1045;"CAC-Facility"
13.06.2024;"Device";118;"Entry18";1045;"CAC-Facility"
13.06.2024;"Device";119;"Entry19";1045;"CAC-Facility"
13.06.2024;"Device";120;"Entry20";1045;"CAC-Facility"
13.06.2024;"Device";121;"Entry21";1045;"CAC-Facility"
13.06.2024;"Device";122;"Entry22";1045;"CAC-Facility"
13.06.2024;"Device";123;"Entry23";1045;"CAC-Facility"
13.06.2024;"Device";124;"Entry24";1045;"CAC-Facility"
13.06.2024;"Device";125;"Entry25";1045;"CAC-Facility"
13.06.2024;"Device";201;"Exit1";1045;"CAC-Facility"
13.06.2024;"Device";202;"Exit2";1045;"CAC-Facility"
13.06.2024;"Device";203;"Exit3";1045;"CAC-Facility"
13.06.2024;"Device";204;"Exit4";1045;"CAC-Facility"
13.06.2024;"Device";205;"Exit5";1045;"CAC-Facility"
13.06.2024;"Device";206;"Exit6";1045;"CAC-Facility"
13.06.2024;"Device";207;"Exit7";1045;"CAC-Facility"
13.06.2024;"Device";208;"Exit8";1045;"CAC-Facility"
13.06.2024;"Device";209;"Exit9";1045;"CAC-Facility"
13.06.2024;"Device";210;"Exit10";1045;"CAC-Facility"
13.06.2024;"Device";211;"Exit11";1045;"CAC-Facility"
13.06.2024;"Device";212;"Exit12";1045;"CAC-Facility"
13.06.2024;"Device";213;"Exit13";1045;"CAC-Facility"
13.06.2024;"Device";214;"Exit14";1045;"CAC-Facility"
13.06.2024;"Device";215;"Exit15";1045;"CAC-Facility"
13.06.2024;"Device";216;"Exit16";1045;"CAC-Facility"
13.06.2024;"Device";217;"Exit17";1045;"CAC-Facility"
13.06.2024;"Device";218;"Exit18";1045;"CAC-Facility"
13.06.2024;"Device";219;"Exit19";1045;"CAC-Facility"
13.06.2024;"Device";220;"Exit20";1045;"CAC-Facility"
13.06.2024;"Device";221;"Exit21";1045;"CAC-Facility"
13.06.2024;"Device";222;"Exit22";1045;"CAC-Facility"
13.06.2024;"Device";223;"Exit23";1045;"CAC-Facility"
13.06.2024;"Device";224;"Exit24";1045;"CAC-Facility"
