04.06.2024;PAR-240604.PSV;2.0.11;2.1.4
TradingDate;CellComputerNo;SiteCarParkNumber;PaymentNumber;EntryDeviceNumber;EntryDateTime;ExitDeviceNumber;ExitDateTime;LastPayDateTime;Misuse;TicketType;CreditCardNumber;InvoiceReference;Balance;TicketSubType;CountOfPayments;TicketEPAN;LicensePlate;ParkingNumber;ReservationID;ForeignReservationID;LPNOrg;LPNCountry
04.06.2024;1029;1068;"";101;01.06.2024 12:16:01;201;03.06.2024 18:30:01;01.01.1977 00:00:00;"N";2;;"0002700003";0;0;0;"024009010290200027000030";"SOF0030";"263";;;"";""
04.06.2024;1029;1068;"203";101;04.06.2024 11:01:14;201;04.06.2024 11:03:11;04.06.2024 11:03:11;"N";2;;"0002700006";0;0;1;"024009010290200027000060";"SOF0060";"269";;;"SOF0060";"FIN"
04.06.2024;1029;1068;"207";101;04.06.2024 11:01:26;201;04.06.2024 11:10:01;04.06.2024 11:10:01;"N";2;;"0002700007";0;0;1;"024009010290200027000070";"SOF0070";"270";;;"";""
04.06.2024;1029;1068;"206";101;04.06.2024 11:01:44;201;04.06.2024 11:04:38;04.06.2024 11:04:38;"N";2;;"0002700008";0;0;1;"024009010290200027000080";"SOF0080";"271";;;"SOF0080";"FIN"
04.06.2024;1029;1068;"";101;01.06.2024 12:00:01;201;03.06.2024 16:50:01;01.01.1977 00:00:00;"N";2;;"0002700001";0;0;0;"024009010290200027000010";"SOF0010";"261";;;"";""
04.06.2024;1029;1068;"";101;01.06.2024 12:15:01;201;03.06.2024 17:50:01;01.01.1977 00:00:00;"N";2;;"0002700002";0;0;0;"024009010290200027000020";"SOF0020";"262";;;"";""
04.06.2024;1029;1068;"205";101;01.06.2024 12:18:01;201;04.06.2024 11:03:48;04.06.2024 11:03:48;"N";2;;"0002700005";0;0;1;"024009010290200027000050";"SOF0050";"264";;;"SOF0050";"FIN"
04.06.2024;1029;1068;"202";101;28.05.2024 15:03:01;201;03.06.2024 15:40:01;03.06.2024 15:40:01;"N";2;;"0002700004";0;0;1;"024009010290200027000040";"SOF0040";"244";;;"";""
04.06.2024;1029;1068;"201";101;26.05.2024 12:15:53;201;03.06.2024 15:30:01;03.06.2024 15:30:01;"N";2;;"0002700007";0;0;1;"024009010290200027000070";"SOF0070";"I1";;;"SOF0070";"FIN"
04.06.2024;1029;1068;"";101;01.06.2024 13:30:01;201;03.06.2024 19:40:01;01.01.1977 00:00:00;"N";2;;"0002700008";0;0;0;"024009010290200027000080";"SOF0080";"265";;;"";""
04.06.2024;1029;1068;"204";101;01.06.2024 12:16:01;201;04.06.2024 11:03:25;04.06.2024 11:03:25;"N";2;;"0002700003";0;0;1;"024009010290200027000030";"SOF0030";"263";;;"SOF0030";"FIN"
04.06.2024;1029;1068;"";101;04.06.2024 11:00:47;201;04.06.2024 11:02:10;01.01.1977 00:00:00;"N";2;;"0002700001";0;0;0;"024009010290200027000010";"SOF0010";"268";;;"SOF0010";"FIN"
04.06.2024;1029;1068;"";101;04.06.2024 11:00:33;201;04.06.2024 11:02:23;01.01.1977 00:00:00;"N";2;;"0002700002";0;0;0;"024009010290200027000020";"SOF0020";"267";;;"SOF0020";"FIN"
