19.03.2024;PPA-240319.PSV;2.0.7
TradingDate;SiteCarParkNumber;CellComputerNo;PaymentNumber;DeviceNumber;TranDateTime;Cancelled;Price;Turnover;PaymentType;PaymentMethod;Discounted;NetPrice;NetTurnover;PaymentReason;ShiftID;Quantity;PaymentCount;ReceiptNo;Cashier;FirstPaymntNo
19.03.2024;1045;1016;"2706749";806;19.03.2024 13:06:11;"N";3000;3000;0;1;"N";2632;2632;1;267;1;1;89125;00119;"2706749"
19.03.2024;1045;1016;"2706750";823;19.03.2024 13:06:13;"N";3000;3000;0;1;"N";2632;2632;1;270;1;1;173726;00069;"2706750"
19.03.2024;1045;1016;"2706751";803;19.03.2024 13:06:13;"N";3000;3000;0;1;"N";2632;2632;1;267;1;1;162578;00081;"2706751"
19.03.2024;1045;1016;"2706752";815;19.03.2024 13:06:16;"N";3000;3000;0;1;"N";2632;2632;1;271;1;1;149578;00120;"2706752"
19.03.2024;1045;1016;"2706753";801;19.03.2024 13:06:16;"N";3000;3000;0;1;"N";2632;2632;1;252;1;1;55336;00237;"2706753"
19.03.2024;1045;1016;"2706754";836;19.03.2024 13:06:19;"N";3000;3000;0;1;"N";2632;2632;1;264;1;1;110819;00054;"2706754"
19.03.2024;1045;1016;"2706755";837;19.03.2024 13:06:20;"N";3000;3000;0;1;"N";2632;2632;1;52;1;1;12566;00225;"2706755"
19.03.2024;1045;1016;"2706756";809;19.03.2024 13:06:22;"N";3000;3000;0;1;"N";2632;2632;1;158;1;1;5366;00088;"2706756"
19.03.2024;1045;1016;"2706757";807;19.03.2024 13:06:24;"N";4000;4000;0;1;"N";3509;3509;1;274;1;1;86900;00215;"2706757"
19.03.2024;1045;1016;"2706758";802;19.03.2024 13:06:26;"N";4500;4500;0;1;"N";3947;3947;1;274;1;1;123626;00040;"2706758"
19.03.2024;1045;1016;"2706759";822;19.03.2024 13:06:33;"N";3000;3000;0;1;"N";2632;2632;1;175;1;1;97762;00155;"2706759"
19.03.2024;1045;1016;"2706760";837;19.03.2024 13:06:39;"N";4000;4000;0;1;"N";3509;3509;1;52;1;1;12567;00225;"2706760"
19.03.2024;1045;1016;"2706761";806;19.03.2024 13:06:41;"N";3000;3000;0;1;"N";2632;2632;1;267;1;1;89126;00119;"2706761"
19.03.2024;1045;1016;"2706762";814;19.03.2024 13:06:42;"N";105000;105000;0;1;"N";92105;92105;1;195;1;1;19893;00230;"2706762"
19.03.2024;1045;1016;"2706763";823;19.03.2024 13:06:46;"N";4500;4500;0;1;"N";3947;3947;1;271;1;1;173728;00155;"2706763"
19.03.2024;1045;1016;"2706764";807;19.03.2024 13:06:48;"N";5000;5000;0;1;"N";4386;4386;1;274;1;1;86901;00215;"2706764"
19.03.2024;1045;1016;"2706765";804;19.03.2024 13:06:52;"N";3000;3000;0;1;"N";2632;2632;1;270;1;1;158209;00162;"2706765"
19.03.2024;1045;1016;"2706766";805;19.03.2024 13:06:54;"N";3000;3000;0;1;"N";2632;2632;1;268;1;1;138977;00078;"2706766"
19.03.2024;1045;1016;"2706767";830;19.03.2024 13:06:54;"N";4500;4500;0;1;"N";3947;3947;1;267;1;1;63322;00171;"2706767"
19.03.2024;1045;1016;"2706768";837;19.03.2024 13:06:57;"N";3000;3000;0;1;"N";2632;2632;1;52;1;1;12568;00225;"2706768"
19.03.2024;1045;1016;"2706769";822;19.03.2024 13:06:59;"N";3000;3000;0;1;"N";2632;2632;1;175;1;1;97763;00155;"2706769"
19.03.2024;1045;1016;"2706770";803;19.03.2024 13:07:02;"N";3000;3000;0;1;"N";2632;2632;1;267;1;1;162579;00081;"2706770"
19.03.2024;1045;1016;"2706771";814;19.03.2024 13:07:03;"N";3000;3000;0;1;"N";2632;2632;1;195;1;1;19894;00230;"2706771"
19.03.2024;1045;1016;"2706772";806;19.03.2024 13:07:04;"N";6000;6000;0;1;"N";5263;5263;1;267;1;1;89127;00119;"2706772"
19.03.2024;1045;1016;"2706773";815;19.03.2024 13:07:04;"N";4500;4500;0;1;"N";3947;3947;1;271;1;1;149579;00120;"2706773"
19.03.2024;1045;1016;"2706774";807;19.03.2024 13:07:12;"N";4000;4000;0;1;"N";3509;3509;1;274;1;1;86902;00215;"2706774"
19.03.2024;1045;1016;"2706775";816;19.03.2024 13:07:13;"N";4500;4500;0;1;"N";3947;3947;1;272;1;1;121185;00239;"2706775"
19.03.2024;1045;1016;"2706776";836;19.03.2024 13:07:14;"N";6000;6000;0;1;"N";5263;5263;1;264;1;1;110820;00054;"2706776"
19.03.2024;1045;1016;"2706777";837;19.03.2024 13:07:14;"N";4000;4000;0;1;"N";3509;3509;1;52;1;1;12569;00225;"2706777"
19.03.2024;1045;1016;"2706778";828;19.03.2024 13:07:14;"N";3000;3000;0;1;"N";2632;2632;1;260;1;1;64899;00044;"2706778"
19.03.2024;1045;1016;"2706779";824;19.03.2024 13:07:17;"N";4000;4000;0;1;"N";3509;3509;1;273;1;1;156275;00039;"2706779"
19.03.2024;1045;1016;"2706780";803;19.03.2024 13:07:19;"N";3000;3000;0;1;"N";2632;2632;1;267;1;1;162580;00081;"2706780"
19.03.2024;1045;1016;"2706781";816;19.03.2024 13:07:27;"N";3000;3000;0;1;"N";2632;2632;1;272;1;1;121186;00239;"2706781"
19.03.2024;1045;1016;"2706782";804;19.03.2024 13:07:30;"N";3000;3000;0;1;"N";2632;2632;1;270;1;1;158210;00162;"2706782"
19.03.2024;1045;1016;"2706783";823;19.03.2024 13:07:32;"N";4500;4500;0;1;"N";3947;3947;1;271;1;1;173729;00155;"2706783"
19.03.2024;1045;1016;"2706784";837;19.03.2024 13:07:33;"N";3000;3000;0;1;"N";2632;2632;1;52;1;1;12570;00225;"2706784"
